//
//	Scripted by THINH NGUYEN
//  File: Ceids.txt
//	Version: 1.0
//	Date: Mon Mar  5 16:31:37 2018
//
// This file is to configure all CEIDs. WARNING!!! DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
// This is a typical way to express an CEID.
//   ceid		is id of the ceid
//   name		is name of the ceid
//
// ceid		name
//
185271297 WHCAlarmCountLimit4OverDetected
185271553 WHCAlarmCountLimit5OverDetected
185271809 WHCAlarmCountLimit6OverDetected
185272065 WHCAlarmCountLimit7OverDetected
185272321 WHCAlarmCountLimit8OverDetected
185272577 WHCAlarmCountLimit9OverDetected
185272833 WHCAlarmCountLimit10OverDetected
185273089 WHCAlarmCountLimit11OverDetected
185273345 WHCAlarmCountLimit12OverDetected
185273601 WHCAlarmCountLimit13OverDetected
185273857 WHCAlarmCountLimit14OverDetected
185274113 WHCAlarmCountLimit15OverDetected
185274369 WHCAlarmCountLimit16OverDetected
185274625 WHCAlarmCountLimit17OverDetected
185274881 WHCAlarmCountLimit18OverDetected
185275137 WHCAlarmCountLimit19OverDetected
185275393 WHCAlarmCountLimit20OverDetected
185008385 LLC1AlarmCountLimit1OverDetected
185008641 LLC1AlarmCountLimit2OverDetected
185008897 LLC1AlarmCountLimit3OverDetected
185009153 LLC1AlarmCountLimit4OverDetected
185009409 LLC1AlarmCountLimit5OverDetected
185009665 LLC1AlarmCountLimit6OverDetected
185009921 LLC1AlarmCountLimit7OverDetected
185010177 LLC1AlarmCountLimit8OverDetected
185010433 LLC1AlarmCountLimit9OverDetected
185010689 LLC1AlarmCountLimit10OverDetected
185010945 LLC1AlarmCountLimit11OverDetected
185011201 LLC1AlarmCountLimit12OverDetected
185011457 LLC1AlarmCountLimit13OverDetected
185011713 LLC1AlarmCountLimit14OverDetected
185011969 LLC1AlarmCountLimit15OverDetected
185012225 LLC1AlarmCountLimit16OverDetected
185012481 LLC1AlarmCountLimit17OverDetected
185012737 LLC1AlarmCountLimit18OverDetected
185012993 LLC1AlarmCountLimit19OverDetected
185013249 LLC1AlarmCountLimit20OverDetected
185073921 LLC2AlarmCountLimit1OverDetected
185074177 LLC2AlarmCountLimit2OverDetected
185074433 LLC2AlarmCountLimit3OverDetected
185074689 LLC2AlarmCountLimit4OverDetected
185074945 LLC2AlarmCountLimit5OverDetected
185075201 LLC2AlarmCountLimit6OverDetected
185075457 LLC2AlarmCountLimit7OverDetected
185075713 LLC2AlarmCountLimit8OverDetected
185075969 LLC2AlarmCountLimit9OverDetected
185076225 LLC2AlarmCountLimit10OverDetected
185076481 LLC2AlarmCountLimit11OverDetected
185076737 LLC2AlarmCountLimit12OverDetected
185076993 LLC2AlarmCountLimit13OverDetected
185077249 LLC2AlarmCountLimit14OverDetected
185077505 LLC2AlarmCountLimit15OverDetected
185077761 LLC2AlarmCountLimit16OverDetected
185078017 LLC2AlarmCountLimit17OverDetected
185078273 LLC2AlarmCountLimit18OverDetected
185078529 LLC2AlarmCountLimit19OverDetected
185078785 LLC2AlarmCountLimit20OverDetected
185081857 WHCAlarmCountDOLimitDetected
185085953 RemainingDummyWafersLowDetected
16842752 ChamberAlarmRC1Cleared
16908288 ChamberAlarmRC2Cleared
16973824 ChamberAlarmRC3Cleared
17039360 ChamberAlarmRC4Cleared
17104896 Rev0.08-1Chg
17235968 ChamberAlarmLL1Cleared
17301504 ChamberAlarmLL2Cleared
17367040 ChamberAlarmLL3Cleared
17432576 ChamberAlarmLL4Cleared
17498112 ChamberAlarmWHCCleared
33619968 GateValveAlarmGV1Cleared
33685504 GateValveAlarmGV2Cleared
33751040 GateValveAlarmGV3Cleared
33816576 GateValveAlarmGV4Cleared
33882112 GateValveAlarmGV5Cleared
33947648 GateValveAlarmGV6Cleared
34013184 GateValveAlarmGV7Cleared
34078720 GateValveAlarmGV8Cleared
34144256 Rev0.08-1Chg
34275328 SealPlateAlarmCleared
50397184 RobotAlarmFERbtCleared
50462720 RobotAlarmBERbtCleared
50528256 RobotAlarmLLAligner1Cleared
50593792 RobotAlarmLLAligner2Cleared
50659328 RobotAlarmAlignerCleared
50724864 RobotAlarmMetrologyCleared
67174400 LoadPortAlarmLP1Cleared
67239936 LoadPortAlarmLP2Cleared
67305472 LoadPortAlarmLP3Cleared
67371008 LoadPortAlarmLP4Cleared
83951616 UIOAlarmCleared
100728832 SusceptorAlarmSS1Cleared
100794368 SusceptorAlarmSS2Cleared
100859904 SusceptorAlarmSS3Cleared
100925440 SusceptorAlarmSS4Cleared
117506048 WaferLiftAlarmWL1Cleared
117571584 WaferLiftAlarmWL2Cleared
117637120 WaferLiftAlarmWL3Cleared
117702656 WaferLiftAlarmWL4Cleared
134283264 ReactorBufferAlarmBF1Cleared
134348800 ReactorBufferAlarmBF2Cleared
134414336 ReactorBufferAlarmBF3Cleared
134479872 ReactorBufferAlarmBF4Cleared
151060480 CoolingStageAlarmCS1Cleared
